num_notaria,nombre_notaria,direccion,lat,lon
87,Raúl Rojas Ascarrunz,Calle 2 № 11 - Barrio Venezuela - Pampa de La Isla,-17.7595354,-63.115801
88,Rosse Mery Uriona Almaraz,Villa 1ro. de Mayo - Calle 5 Oeste - Diagonal al Banco Sol,-17.7940165,-63.1322802
89,Elva Elena Ugarteche Lino,Carretera a Cotoca -Calle 5 - Casa 13 -Planta Alta (Barrio San Lorenzo Sur),-17.7721509,-63.12395549999999
90,María Luisa Duran Ávila,Plan Tres Mil a 30 metros de la Av. Che Guevara y el Banco FASSIL,-17.827358233862064,-63.13647159489621
91,Mónica Isabel Villarroel Rojas,Calle Saavedra № 550 - Entre Calles Tarija y Cobija - Centro,-17.7862491,-63.1859825
92,Aracely Montaño Zeballos,Av. Paurito 7mo Anillo -Diagonal al Surtidor Las Orquídeas - Zona Plan 3000,-17.837511,-63.1275053
93,Cristian René Molina Machicao,Calle Beni № 654,-17.7765569,-63.18119
94,Félix Armando Figueredo Pizarroso,Prolongación Beni № 43 - Centro,-17.87374565,-63.18189403626364
95,Gabriela María Dolly Serrate de Ortiz Null,Calle Alcide d'Orbigny № 33 - Frente Acera Norte del Palacio de Justicia,-17.7734919,-63.1817435
96,Maritza Bernal Viera,Calle Luis Darío Vázquez № 20 - Centro,-17.7682686,-63.1881923
97,Juana Mery Ortiz Romero,Av. Monseñor Rivero 359 – Edificio Millenium 1 - Oficina 9 - Centro,-17.7724892,-63.1825736
98,María Silvia Torrez Sánchez,Avenida Mutualista № 3397 - Casi 4to. Anillo,-17.7202223,-63.1532682
99,Ismael Vargas Aiza,Calle 24 de Septiembre № 394 - Esq. Seoane,-17.7882777,-63.1830383
100,Leidy Flores Arteaga,Calle Campero № 114 - Centro,-17.7759981,-63.1693829
101,Yina Gabriela Franco Camacho,4to. Anillo Villa Warnes Diagonal de la Academia Tahuichi,-17.8206063,-63.19458129999999
102,Víctor Eduardo Omonte Rivero,Av. Uruguay № 289 - Centro,-17.87374565,-63.18189403626364
103,Maribel Silvana Espana Pedraza,Calle Alcide d´Orbigny № 43 - Centro,-17.7650404,-63.1823841
104,Rosmery Ruiz Martínez,Av. Uruguay № 279 - Edificio Ortega – 1er. Piso - Of. 2 Centro,-17.7834217,-63.1820853
105,Rodolfo Yánez Luján,Av. Villa Olímpica № 4150 - Entre 4to y 5to Anillo,-17.7534629,-63.1964793
106,Ingrid Leigue Suárez de Aponte,Calle Alcide d´Orbigny № 64 - Piso 1 - Of. 8 y 9 - Centro,-17.831952649999998,-63.1743162688096
107,Paola Regina Tuero Paniagua,Villa 1ro de Mayo - Edif. Arriaga - Planta Baja - Of. 3 - A una tienda de Calzados Manaco,-17.7949906,-63.1339692
108,Elizabeth Espinoza Trujillo,Plaza Principal Villa 1ero. de Mayo – Calle 5 Este - 2do. Piso Banco BCP,-17.7949906,-63.1339692
109,Carmelo Pinto Alba,Alameda Junín № 71 casi Av. Cañoto - Centro,-17.7834006,-63.1894407
110,Ericka Jenny López Rojas,Av. San Martín - Comercial El Chuubi - Of. 26 Este,-17.822078795871565,-63.214400193126295
111,Ruth Gabriela Monteverde Gómez,Calle 24 de Septiembre № 690 – Centro,-17.8205767,-63.1289722
112,Fabiola Barrancos Hernández,Prolongación Beni № 20 - Edificio Casanova - Planta Baja Of. 5 - Zona Máquina Vieja,-17.7738341,-63.18041770000001
113,Ichin Isaías Ma Ávalos,Av. Beni № 2240 - Entre Av. Los Cusis y Tercer Anillo,-17.7890583,-63.1646004
